n:130 mse_avg:63.66 mse_y:93.61 mse_u:4.75 mse_v:2.79 psnr_avg:30.09 psnr_y:28.42 psnr_u:41.37 psnr_v:43.68 
n:131 mse_avg:62.18 mse_y:91.35 mse_u:4.87 mse_v:2.81 psnr_avg:30.19 psnr_y:28.52 psnr_u:41.26 psnr_v:43.65 
n:132 mse_avg:63.79 mse_y:93.74 mse_u:4.96 mse_v:2.85 psnr_avg:30.08 psnr_y:28.41 psnr_u:41.18 psnr_v:43.58 
n:133 mse_avg:60.82 mse_y:89.32 mse_u:4.83 mse_v:2.80 psnr_avg:30.29 psnr_y:28.62 psnr_u:41.29 psnr_v:43.67 
n:134 mse_avg:62.28 mse_y:91.52 mse_u:4.83 mse_v:2.79 psnr_avg:30.19 psnr_y:28.52 psnr_u:41.30 psnr_v:43.68 
n:135 mse_avg:63.31 mse_y:93.01 mse_u:4.93 mse_v:2.87 psnr_avg:30.12 psnr_y:28.45 psnr_u:41.20 psnr_v:43.55 
n:136 mse_avg:58.28 mse_y:85.51 mse_u:4.79 mse_v:2.85 psnr_avg:30.48 psnr_y:28.81 psnr_u:41.33 psnr_v:43.58 
n:137 mse_avg:60.38 mse_y:88.66 mse_u:4.78 mse_v:2.84 psnr_avg:30.32 psnr_y:28.65 psnr_u:41.33 psnr_v:43.60 
n:138 mse_avg:61.95 mse_y:91.03 mse_u:4.71 mse_v:2.87 psnr_avg:30.21 psnr_y:28.54 psnr_u:41.40 psnr_v:43.55 
n:139 mse_avg:61.56 mse_y:90.43 mse_u:4.74 mse_v:2.90 psnr_avg:30.24 psnr_y:28.57 psnr_u:41.37 psnr_v:43.51 
n:140 mse_avg:61.81 mse_y:90.78 mse_u:4.92 mse_v:2.87 psnr_avg:30.22 psnr_y:28.55 psnr_u:41.21 psnr_v:43.56 
n:141 mse_avg:60.08 mse_y:88.22 mse_u:4.79 mse_v:2.82 psnr_avg:30.34 psnr_y:28.67 psnr_u:41.33 psnr_v:43.62 
n:142 mse_avg:59.47 mse_y:87.33 mse_u:4.72 mse_v:2.79 psnr_avg:30.39 psnr_y:28.72 psnr_u:41.39 psnr_v:43.67 
n:143 mse_avg:56.96 mse_y:83.63 mse_u:4.51 mse_v:2.71 psnr_avg:30.58 psnr_y:28.91 psnr_u:41.59 psnr_v:43.81 
n:144 mse_avg:56.00 mse_y:82.24 mse_u:4.39 mse_v:2.64 psnr_avg:30.65 psnr_y:28.98 psnr_u:41.70 psnr_v:43.92 
n:145 mse_avg:55.53 mse_y:81.58 mse_u:4.27 mse_v:2.62 psnr_avg:30.69 psnr_y:29.02 psnr_u:41.83 psnr_v:43.95 
n:146 mse_avg:56.01 mse_y:82.31 mse_u:4.21 mse_v:2.59 psnr_avg:30.65 psnr_y:28.98 psnr_u:41.89 psnr_v:44.00 
n:147 mse_avg:56.24 mse_y:82.61 mse_u:4.42 mse_v:2.60 psnr_avg:30.63 psnr_y:28.96 psnr_u:41.68 psnr_v:43.98 
n:148 mse_avg:57.48 mse_y:84.47 mse_u:4.42 mse_v:2.61 psnr_avg:30.54 psnr_y:28.86 psnr_u:41.68 psnr_v:43.96 
n:149 mse_avg:55.91 mse_y:82.10 mse_u:4.49 mse_v:2.54 psnr_avg:30.66 psnr_y:28.99 psnr_u:41.61 psnr_v:44.08 
n:150 mse_avg:56.15 mse_y:82.48 mse_u:4.38 mse_v:2.61 psnr_avg:30.64 psnr_y:28.97 psnr_u:41.71 psnr_v:43.96 
n:151 mse_avg:52.03 mse_y:76.42 mse_u:4.19 mse_v:2.29 psnr_avg:30.97 psnr_y:29.30 psnr_u:41.91 psnr_v:44.53 
n:152 mse_avg:57.50 mse_y:84.55 mse_u:4.40 mse_v:2.43 psnr_avg:30.53 psnr_y:28.86 psnr_u:41.70 psnr_v:44.28 
n:153 mse_avg:58.00 mse_y:85.23 mse_u:4.66 mse_v:2.44 psnr_avg:30.50 psnr_y:28.82 psnr_u:41.45 psnr_v:44.26 
n:154 mse_avg:55.98 mse_y:82.21 mse_u:4.61 mse_v:2.48 psnr_avg:30.65 psnr_y:28.98 psnr_u:41.50 psnr_v:44.19 
n:155 mse_avg:56.88 mse_y:83.51 mse_u:4.67 mse_v:2.59 psnr_avg:30.58 psnr_y:28.91 psnr_u:41.44 psnr_v:44.00 
n:156 mse_avg:57.90 mse_y:85.00 mse_u:4.76 mse_v:2.62 psnr_avg:30.50 psnr_y:28.84 psnr_u:41.36 psnr_v:43.95 
n:157 mse_avg:60.11 mse_y:88.29 mse_u:4.77 mse_v:2.71 psnr_avg:30.34 psnr_y:28.67 psnr_u:41.34 psnr_v:43.81 
n:158 mse_avg:59.01 mse_y:86.63 mse_u:4.83 mse_v:2.68 psnr_avg:30.42 psnr_y:28.75 psnr_u:41.30 psnr_v:43.84 
n:159 mse_avg:59.37 mse_y:87.20 mse_u:4.70 mse_v:2.72 psnr_avg:30.40 psnr_y:28.73 psnr_u:41.41 psnr_v:43.78 
n:160 mse_avg:57.40 mse_y:84.26 mse_u:4.64 mse_v:2.69 psnr_avg:30.54 psnr_y:28.87 psnr_u:41.47 psnr_v:43.84 
n:161 mse_avg:58.37 mse_y:85.68 mse_u:4.82 mse_v:2.69 psnr_avg:30.47 psnr_y:28.80 psnr_u:41.30 psnr_v:43.84 
